,filepath,label,split
0,pasture/Pasture_1090.jpg,pasture,train
1,pasture/Pasture_1546.jpg,pasture,train
2,sea_lake/SeaLake_888.jpg,sea lake,train
3,annual_crop/AnnualCrop_2697.jpg,annual crop,train
4,herbaceous_vegetation/HerbaceousVegetation_2811.jpg,herbaceous vegetation,train
5,highway/Highway_123.jpg,highway,train
6,highway/Highway_1582.jpg,highway,train
7,forest/Forest_2441.jpg,forest,train
8,pasture/Pasture_680.jpg,pasture,train
9,industrial/Industrial_1634.jpg,industrial,train
10,residential/Residential_2420.jpg,residential,train
11,pasture/Pasture_1648.jpg,pasture,train
12,river/River_1996.jpg,river,train
13,sea_lake/SeaLake_673.jpg,sea lake,train
14,annual_crop/AnnualCrop_1345.jpg,annual crop,train
15,river/River_2084.jpg,river,train
16,permanent_crop/PermanentCrop_2367.jpg,permanent crop,train
17,residential/Residential_591.jpg,residential,train
18,industrial/Industrial_74.jpg,industrial,train
19,industrial/Industrial_917.jpg,industrial,train
20,pasture/Pasture_115.jpg,pasture,train
21,river/River_764.jpg,river,train
22,industrial/Industrial_1147.jpg,industrial,train
23,herbaceous_vegetation/HerbaceousVegetation_2142.jpg,herbaceous vegetation,train
24,permanent_crop/PermanentCrop_2290.jpg,permanent crop,train
25,pasture/Pasture_166.jpg,pasture,train
26,pasture/Pasture_1592.jpg,pasture,train
27,sea_lake/SeaLake_1748.jpg,sea lake,train
28,highway/Highway_1416.jpg,highway,train
29,permanent_crop/PermanentCrop_1651.jpg,permanent crop,train
30,highway/Highway_167.jpg,highway,train
31,annual_crop/AnnualCrop_88.jpg,annual crop,train
32,river/River_2076.jpg,river,train
33,industrial/Industrial_98.jpg,industrial,train
34,annual_crop/AnnualCrop_2460.jpg,annual crop,train
35,residential/Residential_1387.jpg,residential,train
36,herbaceous_vegetation/HerbaceousVegetation_1979.jpg,herbaceous vegetation,train
37,residential/Residential_2164.jpg,residential,train
38,river/River_1205.jpg,river,train
39,permanent_crop/PermanentCrop_321.jpg,permanent crop,train
40,residential/Residential_2310.jpg,residential,train
41,river/River_2189.jpg,river,train
42,permanent_crop/PermanentCrop_2245.jpg,permanent crop,train
43,forest/Forest_546.jpg,forest,train
44,industrial/Industrial_129.jpg,industrial,train
45,herbaceous_vegetation/HerbaceousVegetation_475.jpg,herbaceous vegetation,train
46,highway/Highway_922.jpg,highway,train
47,pasture/Pasture_142.jpg,pasture,train
48,annual_crop/AnnualCrop_1803.jpg,annual crop,train
49,forest/Forest_2303.jpg,forest,train
50,permanent_crop/PermanentCrop_2401.jpg,permanent crop,train
51,highway/Highway_1501.jpg,highway,train
52,residential/Residential_2738.jpg,residential,train
53,annual_crop/AnnualCrop_1678.jpg,annual crop,train
54,highway/Highway_125.jpg,highway,train
55,annual_crop/AnnualCrop_420.jpg,annual crop,train
56,permanent_crop/PermanentCrop_2164.jpg,permanent crop,train
57,highway/Highway_1829.jpg,highway,train
58,highway/Highway_224.jpg,highway,train
59,herbaceous_vegetation/HerbaceousVegetation_22.jpg,herbaceous vegetation,train
60,residential/Residential_2312.jpg,residential,train
61,residential/Residential_714.jpg,residential,train
62,annual_crop/AnnualCrop_1444.jpg,annual crop,train
63,herbaceous_vegetation/HerbaceousVegetation_35.jpg,herbaceous vegetation,train
64,herbaceous_vegetation/HerbaceousVegetation_2347.jpg,herbaceous vegetation,train
65,highway/Highway_1513.jpg,highway,train
66,pasture/Pasture_1033.jpg,pasture,train
67,forest/Forest_1828.jpg,forest,train
68,residential/Residential_564.jpg,residential,train
69,highway/Highway_478.jpg,highway,train
70,highway/Highway_908.jpg,highway,train
71,sea_lake/SeaLake_1682.jpg,sea lake,train
72,annual_crop/AnnualCrop_2686.jpg,annual crop,train
73,industrial/Industrial_59.jpg,industrial,train
74,permanent_crop/PermanentCrop_1537.jpg,permanent crop,train
75,pasture/Pasture_1394.jpg,pasture,train
76,residential/Residential_2355.jpg,residential,train
77,herbaceous_vegetation/HerbaceousVegetation_549.jpg,herbaceous vegetation,train
78,permanent_crop/PermanentCrop_1214.jpg,permanent crop,train
79,annual_crop/AnnualCrop_12.jpg,annual crop,train
80,annual_crop/AnnualCrop_1495.jpg,annual crop,train
81,forest/Forest_2981.jpg,forest,train
82,highway/Highway_393.jpg,highway,train
83,annual_crop/AnnualCrop_1028.jpg,annual crop,train
84,forest/Forest_1263.jpg,forest,train
85,annual_crop/AnnualCrop_2125.jpg,annual crop,train
86,sea_lake/SeaLake_1120.jpg,sea lake,train
87,permanent_crop/PermanentCrop_1629.jpg,permanent crop,train
88,herbaceous_vegetation/HerbaceousVegetation_1735.jpg,herbaceous vegetation,train
89,highway/Highway_2360.jpg,highway,train
90,industrial/Industrial_289.jpg,industrial,train
91,annual_crop/AnnualCrop_1904.jpg,annual crop,train
92,permanent_crop/PermanentCrop_770.jpg,permanent crop,train
93,annual_crop/AnnualCrop_2504.jpg,annual crop,train
94,river/River_583.jpg,river,train
95,river/River_378.jpg,river,train
96,herbaceous_vegetation/HerbaceousVegetation_1046.jpg,herbaceous vegetation,train
97,residential/Residential_202.jpg,residential,train
98,annual_crop/AnnualCrop_1105.jpg,annual crop,train
99,forest/Forest_2644.jpg,forest,train
100,sea_lake/SeaLake_1844.jpg,sea lake,train
101,sea_lake/SeaLake_2921.jpg,sea lake,train
102,industrial/Industrial_1046.jpg,industrial,train
103,industrial/Industrial_1879.jpg,industrial,train
104,annual_crop/AnnualCrop_1961.jpg,annual crop,train
105,herbaceous_vegetation/HerbaceousVegetation_953.jpg,herbaceous vegetation,train
106,permanent_crop/PermanentCrop_681.jpg,permanent crop,train
107,pasture/Pasture_1821.jpg,pasture,train
108,forest/Forest_809.jpg,forest,train
109,forest/Forest_2136.jpg,forest,train
110,annual_crop/AnnualCrop_112.jpg,annual crop,train
111,annual_crop/AnnualCrop_1608.jpg,annual crop,train
112,residential/Residential_755.jpg,residential,train
113,sea_lake/SeaLake_1688.jpg,sea lake,train
114,annual_crop/AnnualCrop_2722.jpg,annual crop,train
115,industrial/Industrial_2451.jpg,industrial,train
116,pasture/Pasture_941.jpg,pasture,train
117,forest/Forest_1765.jpg,forest,train
118,annual_crop/AnnualCrop_2821.jpg,annual crop,train
119,highway/Highway_2136.jpg,highway,train
120,residential/Residential_81.jpg,residential,train
121,highway/Highway_1926.jpg,highway,train
122,pasture/Pasture_1599.jpg,pasture,train
123,sea_lake/SeaLake_841.jpg,sea lake,train
124,river/River_48.jpg,river,train
125,annual_crop/AnnualCrop_1521.jpg,annual crop,train
126,permanent_crop/PermanentCrop_592.jpg,permanent crop,train
127,annual_crop/AnnualCrop_1385.jpg,annual crop,train
128,pasture/Pasture_1188.jpg,pasture,train
129,forest/Forest_520.jpg,forest,train
130,forest/Forest_1841.jpg,forest,train
131,pasture/Pasture_324.jpg,pasture,train
132,permanent_crop/PermanentCrop_1954.jpg,permanent crop,train
133,sea_lake/SeaLake_2308.jpg,sea lake,train
134,highway/Highway_1568.jpg,highway,train
135,industrial/Industrial_1917.jpg,industrial,train
136,annual_crop/AnnualCrop_1062.jpg,annual crop,train
137,river/River_2232.jpg,river,train
138,highway/Highway_1108.jpg,highway,train
139,industrial/Industrial_1057.jpg,industrial,train
140,residential/Residential_1473.jpg,residential,train
141,residential/Residential_1898.jpg,residential,train
142,river/River_1113.jpg,river,train
143,herbaceous_vegetation/HerbaceousVegetation_1103.jpg,herbaceous vegetation,train
144,sea_lake/SeaLake_272.jpg,sea lake,train
145,industrial/Industrial_880.jpg,industrial,train
146,highway/Highway_60.jpg,highway,train
147,pasture/Pasture_1627.jpg,pasture,train
148,residential/Residential_1611.jpg,residential,train
149,forest/Forest_2137.jpg,forest,train
150,industrial/Industrial_1943.jpg,industrial,train
151,herbaceous_vegetation/HerbaceousVegetation_404.jpg,herbaceous vegetation,train
152,annual_crop/AnnualCrop_1962.jpg,annual crop,train
153,sea_lake/SeaLake_1408.jpg,sea lake,train
154,highway/Highway_852.jpg,highway,train
155,permanent_crop/PermanentCrop_481.jpg,permanent crop,train
156,herbaceous_vegetation/HerbaceousVegetation_1147.jpg,herbaceous vegetation,train
157,forest/Forest_767.jpg,forest,train
158,herbaceous_vegetation/HerbaceousVegetation_2400.jpg,herbaceous vegetation,train
159,sea_lake/SeaLake_2212.jpg,sea lake,train
160,permanent_crop/PermanentCrop_1560.jpg,permanent crop,train
161,highway/Highway_830.jpg,highway,train
162,pasture/Pasture_822.jpg,pasture,train
163,permanent_crop/PermanentCrop_781.jpg,permanent crop,train
164,sea_lake/SeaLake_752.jpg,sea lake,train
