,filepath,label,split
0,storage_tank/storagetank304.jpg,storage tank,train
1,basketball_court/basketballcourt515.jpg,basketball court,train
2,oil_well/oilwell322.jpg,oil well,train
3,freeway/freeway705.jpg,freeway,train
4,railway/railway784.jpg,railway,train
5,dense_residential/denseresidential008.jpg,dense residential,train
6,freeway/freeway425.jpg,freeway,train
7,tennis_court/tenniscourt686.jpg,tennis court,train
8,swimming_pool/swimmingpool330.jpg,swimming pool,train
9,swimming_pool/swimmingpool575.jpg,swimming pool,train
10,transformer_station/transformerstation081.jpg,transformer station,train
11,shipping_yard/shippingyard275.jpg,shipping yard,train
12,dense_residential/denseresidential416.jpg,dense residential,train
13,solar_panel/solarpanel268.jpg,solar panel,train
14,parking_lot/parkinglot068.jpg,parking lot,train
15,swimming_pool/swimmingpool665.jpg,swimming pool,train
16,coastal_mansion/coastalmansion563.jpg,coastal mansion,train
17,storage_tank/storagetank535.jpg,storage tank,train
18,river/river627.jpg,river,train
19,solar_panel/solarpanel462.jpg,solar panel,train
20,intersection/intersection213.jpg,intersection,train
21,transformer_station/transformerstation294.jpg,transformer station,train
22,tennis_court/tenniscourt638.jpg,tennis court,train
23,cemetery/cemetery120.jpg,cemetery,train
24,golf_course/golfcourse474.jpg,golf course,train
25,beach/beach573.jpg,beach,train
26,forest/forest198.jpg,forest,train
27,coastal_mansion/coastalmansion733.jpg,coastal mansion,train
28,runway_marking/runwaymarking150.jpg,runway marking,train
29,baseball_field/baseballfield043.jpg,baseball field,train
30,oil_gas_field/oilgasfield276.jpg,oil gas field,train
31,mobile_home_park/mobilehomepark284.jpg,mobile home park,train
32,intersection/intersection025.jpg,intersection,train
33,runway/runway162.jpg,runway,train
34,wastewater_treatment_plant/wastewaterplant555.jpg,wastewater treatment plant,train
35,beach/beach005.jpg,beach,train
36,harbor/harbor447.jpg,harbor,train
37,baseball_field/baseballfield560.jpg,baseball field,train
38,sparse_residential/sparseresidential244.jpg,sparse residential,train
39,runway/runway276.jpg,runway,train
40,parking_space/parkingspace622.jpg,parking space,train
41,bridge/bridge559.jpg,bridge,train
42,basketball_court/basketballcourt181.jpg,basketball court,train
43,harbor/harbor093.jpg,harbor,train
44,coastal_mansion/coastalmansion675.jpg,coastal mansion,train
45,overpass/overpass729.jpg,overpass,train
46,freeway/freeway275.jpg,freeway,train
47,baseball_field/baseballfield064.jpg,baseball field,train
48,airplane/airplane625.jpg,airplane,train
49,mobile_home_park/mobilehomepark613.jpg,mobile home park,train
50,golf_course/golfcourse350.jpg,golf course,train
51,dense_residential/denseresidential313.jpg,dense residential,train
52,airplane/airplane015.jpg,airplane,train
53,baseball_field/baseballfield800.jpg,baseball field,train
54,sparse_residential/sparseresidential790.jpg,sparse residential,train
55,coastal_mansion/coastalmansion296.jpg,coastal mansion,train
56,storage_tank/storagetank003.jpg,storage tank,train
57,beach/beach738.jpg,beach,train
58,basketball_court/basketballcourt553.jpg,basketball court,train
59,nursing_home/nursinghome173.jpg,nursing home,train
60,baseball_field/baseballfield442.jpg,baseball field,train
61,parking_space/parkingspace454.jpg,parking space,train
62,railway/railway440.jpg,railway,train
