,filepath,superclass,label,split
0,other_land/mountain/mountain(503).tif,other land,mountain,train
1,water_area/lakeshore/lakeshore(259).tif,water area,lakeshore,train
2,woodland/sapling/sapling(93).tif,woodland,sapling,train
3,other_objects/town/town(907).tif,other objects,town,train
4,woodland/artificial_grassland/artificial_grassland(323).tif,woodland,artificial grassland,train
5,transportation/mountain_road/mountain_road(671).tif,transportation,mountain road,train
6,woodland/artificial_grassland/artificial_grassland(206).tif,woodland,artificial grassland,train
7,woodland/natural_grassland/natural_grassland(1023).tif,woodland,natural grassland,train
8,other_land/mountain/mountain(325).tif,other land,mountain,train
9,woodland/natural_grassland/natural_grassland(809).tif,woodland,natural grassland,train
10,cultivated_land/green_farmland/green_farmland(459).tif,cultivated land,green farmland,train
11,other_objects/town/town(396).tif,other objects,town,train
12,woodland/sapling/sapling(584).tif,woodland,sapling,train
13,woodland/artificial_grassland/artificial_grassland(231).tif,woodland,artificial grassland,train
14,water_area/sea/sea(531).tif,water area,sea,train
15,woodland/artificial_grassland/artificial_grassland(136).tif,woodland,artificial grassland,train
16,transportation/mountain_road/mountain_road(740).tif,transportation,mountain road,train
17,woodland/city_avenue/city_avenue(220).tif,woodland,city avenue,train
18,transportation/marina/marina(290).tif,transportation,marina,train
19,water_area/hirst/hirst(644).tif,water area,hirst,train
20,construction_land/grave/grave(198).tif,construction land,grave,train
21,transportation/airport_runway/airport_runway(739).tif,transportation,airport runway,train
22,woodland/mangrove/mangrove_618(758).tif,woodland,mangrove,train
23,construction_land/city_building/city_building(773).tif,construction land,city building,train
24,construction_land/city_building/city_building(936).tif,construction land,city building,train
25,transportation/mountain_road/mountain_road(410).tif,transportation,mountain road,train
26,water_area/lakeshore/lakeshore(526).tif,water area,lakeshore,train
27,woodland/sparse_forest/sparse_forest(352).tif,woodland,sparse forest,train
28,woodland/mangrove/mangrove_618(633).tif,woodland,mangrove,train
29,cultivated_land/dry_farm/dry_farm(481).tif,cultivated land,dry farm,train
30,transportation/mountain_road/mountain_road(722).tif,transportation,mountain road,train
31,other_objects/town/town(753).tif,other objects,town,train
32,cultivated_land/green_farmland/green_farmland(339).tif,cultivated land,green farmland,train
33,other_land/snow_mountain/snow_mountain(694).tif,other land,snow mountain,train
34,transportation/crossroads/crossroads(257).tif,transportation,crossroads,train
35,transportation/airport_runway/airport_runway(882).tif,transportation,airport runway,train
36,transportation/turning_circle/turning_circle(240).tif,transportation,turning circle,train
37,woodland/sparse_forest/sparse_forest(586).tif,woodland,sparse forest,train
38,transportation/avenue/avenue(184).tif,transportation,avenue,train
39,transportation/crossroads/crossroads(65).tif,transportation,crossroads,train
40,transportation/mountain_road/mountain_road(311).tif,transportation,mountain road,train
41,water_area/sea/sea(1268).tif,water area,sea,train
42,construction_land/residents/residents(977).tif,construction land,residents,train
43,transportation/airport_runway/airport_runway(745).tif,transportation,airport runway,train
44,woodland/river_protection_forest/river_protection_forest(181).tif,woodland,river protection forest,train
45,woodland/shrubwood/shrubwood(1423).tif,woodland,shrubwood,train
46,water_area/dam/dam(156).tif,water area,dam,train
47,water_area/sea/sea(487).tif,water area,sea,train
48,woodland/river_protection_forest/river_protection_forest(21).tif,woodland,river protection forest,train
49,woodland/sapling/sapling(871).tif,woodland,sapling,train
50,woodland/natural_grassland/natural_grassland(1143).tif,woodland,natural grassland,train
51,water_area/sea/sea(603).tif,water area,sea,train
52,water_area/coastline/coastline(532).tif,water area,coastline,train
53,transportation/parkinglot/parkinglot(45).tif,transportation,parkinglot,train
54,water_area/lakeshore/lakeshore(202).tif,water area,lakeshore,train
55,other_objects/town/town(197).tif,other objects,town,train
56,construction_land/container/container(1148).tif,construction land,container,train
57,water_area/coastline/coastline(307).tif,water area,coastline,train
58,woodland/sparse_forest/sparse_forest(986).tif,woodland,sparse forest,train
59,woodland/mangrove/mangrove_618(915).tif,woodland,mangrove,train
60,woodland/forest/forest(777).tif,woodland,forest,train
61,transportation/crossroads/crossroads(371).tif,transportation,crossroads,train
62,water_area/sea/sea(247).tif,water area,sea,train
63,water_area/stream/stream(896).tif,water area,stream,train
64,other_land/sandbeach/sand_beach(431).tif,other land,sandbeach,train
65,water_area/hirst/hirst(1041).tif,water area,hirst,train
66,cultivated_land/dry_farm/dry_farm(667).tif,cultivated land,dry farm,train
67,transportation/parkinglot/parkinglot(355).tif,transportation,parkinglot,train
68,transportation/airport_runway/airport_runway(256).tif,transportation,airport runway,train
69,transportation/airport_runway/airport_runway(332).tif,transportation,airport runway,train
