,filepath,label,split
0,park/1403.tif,park,train
1,river/2085.tif,river,train
2,park/1408.tif,park,train
3,pond/1614.tif,pond,train
4,industrial/853.tif,industrial,train
5,idle_land/800.tif,idle land,train
6,meadow/1110.tif,meadow,train
7,park/1501.tif,park,train
8,idle_land/618.tif,idle land,train
9,commercial/290.tif,commercial,train
10,overpass/1326.tif,overpass,train
11,industrial/871.tif,industrial,train
12,commercial/395.tif,commercial,train
13,overpass/1376.tif,overpass,train
14,park/1434.tif,park,train
15,overpass/1268.tif,overpass,train
16,overpass/1328.tif,overpass,train
17,meadow/1157.tif,meadow,train
18,residential/1932.tif,residential,train
19,residential/1874.tif,residential,train
20,idle_land/662.tif,idle land,train
21,harbor/472.tif,harbor,train
22,pond/1658.tif,pond,train
23,pond/1643.tif,pond,train
24,harbor/457.tif,harbor,train
25,overpass/1211.tif,overpass,train
26,pond/1716.tif,pond,train
27,water/2376.tif,water,train
28,meadow/1185.tif,meadow,train
29,river/2111.tif,river,train
30,agriculture/5.tif,agriculture,train
31,overpass/1339.tif,overpass,train
32,meadow/1013.tif,meadow,train
33,idle_land/759.tif,idle land,train
34,residential/1832.tif,residential,train
35,idle_land/767.tif,idle land,train
36,agriculture/62.tif,agriculture,train
37,agriculture/43.tif,agriculture,train
38,water/2368.tif,water,train
39,meadow/1034.tif,meadow,train
40,overpass/1281.tif,overpass,train
41,river/2170.tif,river,train
42,meadow/1111.tif,meadow,train
43,residential/1836.tif,residential,train
44,overpass/1349.tif,overpass,train
45,meadow/1012.tif,meadow,train
46,residential/1914.tif,residential,train
47,meadow/1102.tif,meadow,train
48,industrial/922.tif,industrial,train
49,residential/1818.tif,residential,train
50,pond/1793.tif,pond,train
51,park/1475.tif,park,train
52,river/2123.tif,river,train
53,water/2206.tif,water,train
54,harbor/487.tif,harbor,train
55,industrial/964.tif,industrial,train
56,harbor/471.tif,harbor,train
57,commercial/353.tif,commercial,train
58,commercial/385.tif,commercial,train
59,water/2373.tif,water,train
60,idle_land/716.tif,idle land,train
61,industrial/929.tif,industrial,train
62,overpass/1291.tif,overpass,train
63,meadow/1145.tif,meadow,train
64,meadow/1115.tif,meadow,train
65,residential/1820.tif,residential,train
66,residential/1828.tif,residential,train
67,harbor/456.tif,harbor,train
68,overpass/1312.tif,overpass,train
69,residential/1869.tif,residential,train
70,pond/1688.tif,pond,train
71,agriculture/6.tif,agriculture,train
72,pond/1631.tif,pond,train
73,commercial/278.tif,commercial,train
74,residential/1892.tif,residential,train
75,agriculture/33.tif,agriculture,train
76,park/1571.tif,park,train
77,park/1473.tif,park,train
78,overpass/1251.tif,overpass,train
79,meadow/1158.tif,meadow,train
80,residential/1964.tif,residential,train
81,residential/1901.tif,residential,train
82,water/2320.tif,water,train
83,park/1422.tif,park,train
84,industrial/825.tif,industrial,train
85,river/2049.tif,river,train
86,water/2217.tif,water,train
87,pond/1662.tif,pond,train
88,overpass/1298.tif,overpass,train
89,harbor/403.tif,harbor,train
90,overpass/1269.tif,overpass,train
91,meadow/1137.tif,meadow,train
92,harbor/559.tif,harbor,train
93,meadow/1089.tif,meadow,train
94,river/2020.tif,river,train
95,meadow/1119.tif,meadow,train
96,overpass/1253.tif,overpass,train
97,overpass/1395.tif,overpass,train
98,water/2214.tif,water,train
99,harbor/461.tif,harbor,train
100,park/1452.tif,park,train
101,commercial/336.tif,commercial,train
102,overpass/1293.tif,overpass,train
103,park/1468.tif,park,train
104,meadow/1183.tif,meadow,train
105,overpass/1342.tif,overpass,train
106,overpass/1329.tif,overpass,train
107,industrial/803.tif,industrial,train
108,harbor/490.tif,harbor,train
109,park/1518.tif,park,train
110,industrial/811.tif,industrial,train
111,park/1509.tif,park,train
112,overpass/1270.tif,overpass,train
113,pond/1706.tif,pond,train
114,pond/1603.tif,pond,train
115,river/2052.tif,river,train
116,overpass/1256.tif,overpass,train
117,overpass/1307.tif,overpass,train
118,water/2361.tif,water,train
119,water/2300.tif,water,train
120,overpass/1226.tif,overpass,train
121,agriculture/120.tif,agriculture,train
122,harbor/515.tif,harbor,train
123,overpass/1261.tif,overpass,train
124,water/2352.tif,water,train
125,agriculture/72.tif,agriculture,train
126,industrial/806.tif,industrial,train
