,filepath,label,split
0,airplane/airplane68.tif,airplane,train
1,airplane/airplane77.tif,airplane,train
2,agricultural/agricultural34.tif,agricultural,train
3,agricultural/agricultural71.tif,agricultural,train
4,chaparral/chaparral23.tif,chaparral,train
5,freeway/freeway41.tif,freeway,train
6,freeway/freeway03.tif,freeway,train
7,runway/runway63.tif,runway,train
8,freeway/freeway48.tif,freeway,train
9,forest/forest29.tif,forest,train
10,runway/runway52.tif,runway,train
11,river/river29.tif,river,train
12,dense_residential/denseresidential13.tif,dense residential,train
13,freeway/freeway70.tif,freeway,train
14,dense_residential/denseresidential25.tif,dense residential,train
15,parking_lot/parkinglot76.tif,parking lot,train
16,tennis_court/tenniscourt49.tif,tennis court,train
17,forest/forest90.tif,forest,train
18,storage_tanks/storagetanks10.tif,storage tanks,train
19,mobile_home_park/mobilehomepark57.tif,mobile home park,train
20,dense_residential/denseresidential79.tif,dense residential,train
21,overpass/overpass50.tif,overpass,train
22,overpass/overpass73.tif,overpass,train
23,storage_tanks/storagetanks51.tif,storage tanks,train
24,forest/forest07.tif,forest,train
25,dense_residential/denseresidential30.tif,dense residential,train
26,medium_residential/mediumresidential86.tif,medium residential,train
27,storage_tanks/storagetanks14.tif,storage tanks,train
28,storage_tanks/storagetanks00.tif,storage tanks,train
29,freeway/freeway68.tif,freeway,train
30,overpass/overpass08.tif,overpass,train
31,sparse_residential/sparseresidential61.tif,sparse residential,train
32,river/river36.tif,river,train
33,sparse_residential/sparseresidential27.tif,sparse residential,train
34,medium_residential/mediumresidential78.tif,medium residential,train
35,tennis_court/tenniscourt73.tif,tennis court,train
36,forest/forest63.tif,forest,train
37,airplane/airplane34.tif,airplane,train
38,baseball_diamond/baseballdiamond07.tif,baseball diamond,train
39,medium_residential/mediumresidential75.tif,medium residential,train
40,freeway/freeway91.tif,freeway,train
41,airplane/airplane28.tif,airplane,train
42,baseball_diamond/baseballdiamond62.tif,baseball diamond,train
43,storage_tanks/storagetanks57.tif,storage tanks,train
44,overpass/overpass38.tif,overpass,train
45,beach/beach86.tif,beach,train
46,intersection/intersection58.tif,intersection,train
47,parking_lot/parkinglot09.tif,parking lot,train
48,freeway/freeway46.tif,freeway,train
49,dense_residential/denseresidential78.tif,dense residential,train
50,airplane/airplane04.tif,airplane,train
51,runway/runway83.tif,runway,train
52,medium_residential/mediumresidential15.tif,medium residential,train
53,harbor/harbor91.tif,harbor,train
54,forest/forest48.tif,forest,train
55,beach/beach03.tif,beach,train
56,baseball_diamond/baseballdiamond89.tif,baseball diamond,train
57,dense_residential/denseresidential16.tif,dense residential,train
58,dense_residential/denseresidential92.tif,dense residential,train
59,sparse_residential/sparseresidential93.tif,sparse residential,train
60,sparse_residential/sparseresidential55.tif,sparse residential,train
61,baseball_diamond/baseballdiamond90.tif,baseball diamond,train
62,sparse_residential/sparseresidential24.tif,sparse residential,train
63,tennis_court/tenniscourt07.tif,tennis court,train
64,dense_residential/denseresidential08.tif,dense residential,train
65,river/river92.tif,river,train
66,baseball_diamond/baseballdiamond73.tif,baseball diamond,train
67,buildings/buildings89.tif,buildings,train
68,golf_course/golfcourse21.tif,golf course,train
69,river/river05.tif,river,train
70,dense_residential/denseresidential93.tif,dense residential,train
71,storage_tanks/storagetanks40.tif,storage tanks,train
72,airplane/airplane33.tif,airplane,train
73,airplane/airplane10.tif,airplane,train
74,beach/beach46.tif,beach,train
75,forest/forest69.tif,forest,train
76,forest/forest42.tif,forest,train
77,forest/forest04.tif,forest,train
78,storage_tanks/storagetanks79.tif,storage tanks,train
79,beach/beach57.tif,beach,train
80,chaparral/chaparral80.tif,chaparral,train
81,airplane/airplane79.tif,airplane,train
82,freeway/freeway56.tif,freeway,train
83,golf_course/golfcourse52.tif,golf course,train
84,baseball_diamond/baseballdiamond37.tif,baseball diamond,train
85,golf_course/golfcourse70.tif,golf course,train
86,river/river82.tif,river,train
87,dense_residential/denseresidential76.tif,dense residential,train
88,buildings/buildings45.tif,buildings,train
89,runway/runway67.tif,runway,train
90,beach/beach40.tif,beach,train
91,harbor/harbor63.tif,harbor,train
92,golf_course/golfcourse12.tif,golf course,train
93,intersection/intersection57.tif,intersection,train
94,storage_tanks/storagetanks29.tif,storage tanks,train
95,harbor/harbor17.tif,harbor,train
96,agricultural/agricultural93.tif,agricultural,train
97,baseball_diamond/baseballdiamond21.tif,baseball diamond,train
98,runway/runway38.tif,runway,train
99,buildings/buildings47.tif,buildings,train
100,sparse_residential/sparseresidential56.tif,sparse residential,train
101,sparse_residential/sparseresidential25.tif,sparse residential,train
102,sparse_residential/sparseresidential26.tif,sparse residential,train
103,mobile_home_park/mobilehomepark76.tif,mobile home park,train
104,mobile_home_park/mobilehomepark91.tif,mobile home park,train
105,medium_residential/mediumresidential38.tif,medium residential,train
106,chaparral/chaparral22.tif,chaparral,train
107,mobile_home_park/mobilehomepark95.tif,mobile home park,train
108,mobile_home_park/mobilehomepark67.tif,mobile home park,train
109,tennis_court/tenniscourt58.tif,tennis court,train
110,forest/forest01.tif,forest,train
111,sparse_residential/sparseresidential50.tif,sparse residential,train
112,airplane/airplane64.tif,airplane,train
113,mobile_home_park/mobilehomepark14.tif,mobile home park,train
114,chaparral/chaparral57.tif,chaparral,train
115,runway/runway02.tif,runway,train
116,storage_tanks/storagetanks75.tif,storage tanks,train
117,sparse_residential/sparseresidential15.tif,sparse residential,train
118,tennis_court/tenniscourt05.tif,tennis court,train
119,buildings/buildings17.tif,buildings,train
120,sparse_residential/sparseresidential94.tif,sparse residential,train
121,runway/runway55.tif,runway,train
122,baseball_diamond/baseballdiamond57.tif,baseball diamond,train
123,intersection/intersection44.tif,intersection,train
124,baseball_diamond/baseballdiamond16.tif,baseball diamond,train
125,harbor/harbor01.tif,harbor,train
126,tennis_court/tenniscourt69.tif,tennis court,train
127,tennis_court/tenniscourt48.tif,tennis court,train
128,baseball_diamond/baseballdiamond84.tif,baseball diamond,train
129,buildings/buildings07.tif,buildings,train
