,dataset_name,dataset_type,accuracy
0,EuroSAT,zero_shot,0.3351851851851852
1,MLRSNet,zero_shot,0.46049558008519215
2,OPTIMAL_31,zero_shot,0.6801075268817204
3,PatternNet,zero_shot,0.5393092105263158
4,RESISC45,zero_shot,0.7423809523809524
5,RSI_CB256,zero_shot,0.282020202020202
6,RSICD,zero_shot,0.595608417200366
7,RSITMD,zero_shot,0.47345132743362833
8,SIRI_WHU,zero_shot,0.4583333333333333
9,UCM,zero_shot,0.611904761904762
10,WHU_RS19,zero_shot,0.7711442786069652
11,EuroSAT,lnr_prob,0.9574074074074074
12,MLRSNet,lnr_prob,0.9377089726560711
13,OPTIMAL_31,lnr_prob,0.9516129032258065
14,PatternNet,lnr_prob,0.9884868421052632
15,RESISC45,lnr_prob,0.9809523809523809
16,RSI_CB256,lnr_prob,0.9890909090909091
17,RSICD,lnr_prob,0.9533394327538883
18,RSITMD,lnr_prob,0.9292035398230089
19,SIRI_WHU,lnr_prob,0.9395833333333333
20,UCM,lnr_prob,0.9476190476190476
21,WHU_RS19,lnr_prob,0.9900497512437811
22,EuroSAT,knn,0.9092592592592592
23,MLRSNet,knn,0.9206247423624788
24,OPTIMAL_31,knn,0.9193548387096774
25,PatternNet,knn,0.9805921052631579
26,RESISC45,knn,0.9761904761904762
27,RSI_CB256,knn,0.9846464646464647
28,RSICD,knn,0.9130832570905764
29,RSITMD,knn,0.9269911504424779
30,SIRI_WHU,knn,0.9020833333333333
31,UCM,knn,0.9261904761904762
32,WHU_RS19,knn,0.9850746268656716
33,RSICD,image2text,0.09596190825016024
34,RSITMD,image2text,0.1395741092135779
35,SIDNEY,image2text,0.47797716150081565
36,UCM,image2text,0.6866666666666666
37,RSICD,text2image,0.07636663309220768
38,RSITMD,text2image,0.15391102677630192
39,SIDNEY,text2image,0.32300163132137033
40,UCM,text2image,0.2342857142857143
