,dataset_name,dataset_type,accuracy
0,EuroSAT,zero_shot,0.27
1,MLRSNet,zero_shot,0.5841615902532863
2,OPTIMAL_31,zero_shot,0.7876344086021505
3,PatternNet,zero_shot,0.6175986842105263
4,RESISC45,zero_shot,0.87
5,RSI_CB256,zero_shot,0.43393939393939396
6,RSICD,zero_shot,0.8700823421774931
7,RSITMD,zero_shot,0.838495575221239
8,SIRI_WHU,zero_shot,0.6208333333333333
9,UCM,zero_shot,0.8904761904761904
10,WHU_RS19,zero_shot,0.9402985074626866
11,EuroSAT,lnr_prob,0.9638888888888889
12,MLRSNet,lnr_prob,0.946961022305684
13,OPTIMAL_31,lnr_prob,0.9489247311827957
14,PatternNet,lnr_prob,0.9935855263157894
15,RESISC45,lnr_prob,0.9885714285714285
16,RSI_CB256,lnr_prob,0.9943434343434343
17,RSICD,lnr_prob,0.958828911253431
18,RSITMD,lnr_prob,0.9601769911504425
19,SIRI_WHU,lnr_prob,0.96875
20,UCM,lnr_prob,0.9928571428571429
21,WHU_RS19,lnr_prob,0.9900497512437811
22,EuroSAT,knn,0.9325925925925926
23,MLRSNet,knn,0.935189850226721
24,OPTIMAL_31,knn,0.9139784946236559
25,PatternNet,knn,0.9884868421052632
26,RESISC45,knn,0.9876190476190476
27,RSI_CB256,knn,0.9874747474747475
28,RSICD,knn,0.9560841720036597
29,RSITMD,knn,0.9712389380530974
30,SIRI_WHU,knn,0.9291666666666667
31,UCM,knn,0.9785714285714285
32,WHU_RS19,knn,0.9850746268656716
33,RSICD,image2text,0.7537771266367549
34,RSITMD,image2text,0.7193759224119756
35,SIDNEY,image2text,0.601957585644372
36,UCM,image2text,0.9695238095238096
37,RSICD,text2image,0.5044409852577603
38,RSITMD,text2image,0.7221168037107316
39,SIDNEY,text2image,0.37520391517128876
40,UCM,text2image,0.38666666666666666
